2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852
2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,1,1,1,2852
2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,16,2852,2852,2852,1,1,1,2852
2852,2852,2852,2852,16,16,16,2852,16,2852,2852,2852,2852,2852,2852,1,1,1,2852
2852,2852,2852,16,16,2852,16,2852,2852,2852,2852,16,16,16,2852,2852,16,2852,2852
2852,2852,2852,16,2852,2852,16,16,2852,2852,2852,16,2852,16,16,2852,16,2852,2852
2852,2852,2852,16,16,16,16,16,2852,2852,2852,16,2852,2852,16,16,16,2852,2852
2852,2852,1,16,2852,16,16,16,16,16,16,16,16,16,16,16,16,2852,2852
2852,2852,16,16,2852,16,1,16,16,2852,2852,16,16,1,16,16,16,2852,2852
2852,2852,2852,16,16,16,16,16,16,16,16,16,16,2852,2852,16,16,2852,2852
2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852
